name;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g
Royco kaldu sapi;0 g;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Frisian Flag kental manis kemasan ekonomis 560 gram;1 g;140.0;1.0;23.0;40.0;19.0;25.0;0.0
Starbucks iced caffe latte (notfat milk);8 g;90.0;8.0;13.0;0.0;0.0;0.0;0.0
Starbucks hot caffe latte (notfat milk);13 g;130.0;13.0;20.0;0.0;0.0;0.0;0.0
Tempe kedelai murni goreng;1.80 g;350.0;24.5;10.4;26.6;0.0;22.0;4.2
Chitato keripik kentang rasa original;1 g;100.0;1.0;12.0;5.0;0.0;60.0;0.0
Whiskey;0 g;250.0;0.0;0.1;0.0;0.0;0.0;0.0
Beras ketan hitam tumbuk;Tidak Diketahui;1.50 g;360.0;8.0;74.5;2.3;0.0;11.0
Khong Guan Malkist abon;2 g;80.0;2.0;13.0;3.0;3.0;0.0;0.0
Oreo;1 g;140.0;1.0;21.0;6.0;11.0;0.0;1.0
kurma;20.53 g;282.0;2.45;75.03;0.39;0.0;2.0;7.99
Nopia spesial;1.30 g;387.0;5.3;74.3;7.6;0.0;0.0;0.3
Cheesecake Factory Oreo dream extreme cheesecake;7 g;1620.0;17.0;178.0;99.0;134.0;0.0;7.0
Sedaap Tasty bakmi ayam geprek matah;6 g;190.0;14.0;81.0;21.0;2.0;870.0;6.0
Sate bandeng;3.10 g;283.0;12.1;20.9;16.8;0.0;543.0;2.0
Daun kemang;Tidak Diketahui;1.70 g;43.0;5.5;7.5;0.3;0.0;10.0
Saus sambal ABC;0 g;28.0;0.0;6.0;0.0;5.0;0.0;0.0
Coklat Hershey's kisses milk chocolate;0.10 g;22.0;0.3;2.8;1.3;2.6;0.0;0.1
Ikan Tempahas;Tidak Diketahui;0.90 g;101.0;15.1;1.0;4.1;0.0;50.0
Sapi; kornet;Tidak Diketahui;6 g;289.0;16.0;0.0;25.0;0.0
Chitato fresh potato;1 g;110.0;1.0;12.0;6.0;0.0;0.0;0.0
Oncom ampas kacang hijau;1.70 g;376.0;14.9;65.7;6.0;0.0;0.0;12.3
good day mocacino;1 g;90.0;1.0;16.0;2.0;13.0;10.0;1.0
Lamtoro var. lokal dengan kulit;1.80 g;336.0;23.8;59.7;1.2;0.0;134.0;15.4
Teh botol sosro original;0 g;140.0;0.0;34.0;0.0;32.0;0.0;0.0
Daun leilem;Tidak Diketahui;1.80 g;76.0;2.8;15.8;0.2;0.0;6.0
Mcdonald Mc double;2 g;380.0;23.0;34.0;18.0;7.0;0.0;2.0
Keripik tempe abadi telur;2.90 g;529.0;20.8;40.2;31.7;0.0;0.0;3.0
Angsa;segar;Tidak Diketahui;1 g;349.0;16.4;0.0;31.5;0.0
Keripik tempe abadi sedang;3.10 g;510.0;12.3;52.4;27.9;0.0;0.0;3.6
Goodday Funtastic mocacinno;8 g;140.0;3.0;26.0;2.5;18.0;75.0;8.0
lovamil minuman khusus ibu hamil dan menyusui rasa kacang hijau;8 g;160.0;8.0;25.0;3.0;0.0;135.0;0.0
Wortel kukus;0.60 g;37.0;1.0;8.3;0.6;0.0;43.0;1.1
Mie bendo;0.20 g;353.0;0.3;88.0;0.0;0.0;9.0;2.4
Cheesecake Factory oreo milkshake;3 g;1680.0;27.0;183.0;94.0;131.0;0.0;3.0
Roma Marie Gold;2 g;90.0;2.0;15.0;3.0;4.0;0.0;0.0
Supermi Extra Mie Goreng rasa Ayam pangsit;10 g;510.0;10.0;70.0;21.0;0.0;1130.0;0.0
Buah mentega (Bisbul);Tidak Diketahui;0.40 g;39.0;0.7;9.7;0.2;0.0;1.0
Karedok;Tidak Diketahui;1.40 g;92.0;2.2;14.1;3.3;0.0;0.0
Mie sedap instan goreng kriuk;8 g;160.0;9.0;57.0;18.0;6.0;1170.0;8.0
Ice Cone;0 g;190.0;5.0;32.0;4.5;24.0;0.0;0.0
Ikan Balong;Tidak Diketahui;1.50 g;107.0;16.5;1.5;3.9;0.0;86.0
TOPOKI Mujigae;11 g;410.0;11.0;78.0;7.0;0.0;1390.0;0.0
ABC EXO milk coffe;2 g;160.0;8.0;24.0;24.0;22.0;0.0;2.0
Kalio jeroan;Tidak Diketahui;1.50 g;163.0;16.5;4.1;9.0;0.0;570.0
Starbucks butter croissant;1 g;260.0;5.0;27.0;15.0;5.0;0.0;1.0
Daun mengkudu;Tidak Diketahui;2 g;65.0;4.0;11.4;1.7;0.0;0.0
Sagu sinole;0.10 g;354.0;0.8;68.9;8.3;0.0;30.0;0.0
Nasi rames;0.60 g;155.0;10.3;19.1;4.2;0.0;265.0;0.0
MAESTRO MAYONAISE;0 g;90.0;0.0;2.0;9.0;0.0;210.0;0.0
Susu Ultra Milk Low Fat;7 g;90.0;7.0;11.0;2.5;0.0;105.0;0.0
Ikan Baronang;Tidak Diketahui;1.20 g;78.0;14.5;3.7;0.6;0.0;26.0
ROYCO BUMBU AYAM SAUS TELUR ASIN;1 g;30.0;1.0;2.0;1.5;0.0;50.0;0.0
